Timestamp,TimeInCreasingInSecOnly,ScrollY,Direction,Speed (px/s),Page Height
36:01.3,10.5124,0,None,0,1292
36:01.3,10.5288,0,None,0,1292
36:01.3,10.5452,0,None,0,1292
36:01.3,10.5616,0,None,0,1292
36:01.3,10.578,0,None,0,1292
36:01.3,10.5944,0,None,0,1292
36:01.3,10.6108,0,None,0,1292
36:01.3,10.6272,0,None,0,1292
36:01.3,10.6436,0,None,0,1292
36:01.3,10.66,0,None,0,1292
36:01.3,10.6764,0,None,0,1292
36:01.3,10.6928,0,None,0,1292
36:01.3,10.7092,0,None,0,1292
36:01.3,10.7256,0,None,0,1292
36:01.3,10.742,0,None,0,1292
36:01.3,10.7584,0,None,0,1292
36:01.3,10.7748,0,None,0,1292
36:01.3,10.7912,0,None,0,1292
36:01.3,10.8076,0,None,0,1292
36:01.4,10.824,0,None,0,1292
36:01.4,10.8404,0,None,0,1292
36:01.4,10.8568,0,None,0,1292
36:01.4,10.8732,0,None,0,1292
36:01.4,10.8896,0,None,0,1292
36:01.4,10.906,0,None,0,1292
36:01.4,10.9224,0,None,0,1292
36:01.4,10.9388,0,None,0,1292
36:01.4,10.9552,0,None,0,1292
36:01.4,10.9716,0,None,0,1292
36:01.4,10.988,0,None,0,1292
36:01.4,11.0044,0,None,0,1292
36:01.4,11.0208,0,None,0,1292
36:01.4,11.0372,0,None,0,1292
36:01.4,11.0536,0,None,0,1292
36:01.4,11.07,0,None,0,1292
36:01.4,11.0864,0,None,0,1292
36:01.4,11.1028,0,None,0,1292
36:01.4,11.1192,0,None,0,1292
36:01.4,11.1356,0,None,0,1292
36:01.4,11.152,0,None,0,1292
36:01.4,11.1684,0,None,0,1292
36:01.4,11.1848,0,None,0,1292
36:01.4,11.2012,0,None,0,1292
36:01.4,11.2176,0,None,0,1292
36:01.5,11.234,0,None,0,1292
36:01.5,11.2504,0,None,0,1292
36:01.5,11.2668,0,None,0,1292
36:01.5,11.2832,0,None,0,1292
36:01.5,11.2996,0,None,0,1292
